CreationDate,Value
2025-02-14 00:20:19 +0530,0.89
2025-02-14 01:20:24 +0530,0.93
2025-02-14 01:50:25 +0530,0.97
2025-02-14 02:20:26 +0530,0.99
2025-02-14 02:50:27 +0530,0.99
2025-02-14 03:33:40 +0530,0.91
2025-02-14 04:05:36 +0530,0.97
2025-02-14 04:35:37 +0530,0.98
2025-02-14 05:05:38 +0530,0.98
2025-02-14 06:05:38 +0530,0.98
2025-02-14 06:44:37 +0530,1
2025-02-14 16:06:15 +0530,0.89
2025-02-14 16:36:15 +0530,0.93
2025-02-14 18:40:37 +0530,0.94
2025-02-14 19:40:38 +0530,0.93
2025-02-14 20:31:06 +0530,0.98
2025-02-14 21:01:07 +0530,1
2025-02-14 23:40:15 +0530,0.97
2025-02-15 00:10:16 +0530,0.92
2025-02-15 00:40:17 +0530,0.96
2025-02-15 01:35:47 +0530,0.92
2025-02-15 03:15:26 +0530,1
2025-02-15 05:43:12 +0530,0.98
2025-02-15 06:13:13 +0530,0.99
2025-02-15 06:43:47 +0530,0.98
2025-02-15 07:13:47 +0530,0.98
2025-02-15 08:13:35 +0530,0.99
2025-02-15 08:44:46 +0530,0.95
2025-02-15 11:19:08 +0530,0.95
2025-02-15 11:55:29 +0530,0.99
2025-02-15 17:02:11 +0530,0.85
2025-02-15 17:02:37 +0530,0.84
2025-02-15 18:24:55 +0530,0.91
2025-02-15 19:02:06 +0530,0.92
2025-02-15 22:35:50 +0530,0.93
2025-02-15 23:40:16 +0530,0.87
2025-02-16 00:16:53 +0530,0.9
2025-02-16 00:47:14 +0530,0.96
2025-02-16 01:17:15 +0530,0.97
2025-02-16 01:47:16 +0530,1
2025-02-16 03:48:47 +0530,1
2025-02-16 04:35:38 +0530,0.9
2025-02-16 05:05:39 +0530,0.98
2025-02-16 05:35:40 +0530,0.99
2025-02-16 08:44:16 +0530,0.97
2025-02-16 17:04:15 +0530,0.94
2025-02-16 18:09:16 +0530,0.98
2025-02-16 19:11:00 +0530,0.96
