CreationDate,Value
2025-02-14 00:20:19 +0530,76
2025-02-14 00:20:36 +0530,76.2927
2025-02-14 00:23:31 +0530,74
2025-02-14 00:27:37 +0530,73
2025-02-14 00:33:19 +0530,74
2025-02-14 00:39:30 +0530,75
2025-02-14 00:43:14 +0530,72
2025-02-14 00:50:03 +0530,78
2025-02-14 00:52:59 +0530,78
2025-02-14 00:59:10 +0530,76
2025-02-14 01:00:25 +0530,93
2025-02-14 01:05:51 +0530,75
2025-02-14 01:11:58 +0530,72
2025-02-14 01:14:08 +0530,74
2025-02-14 01:20:24 +0530,66
2025-02-14 01:24:09 +0530,71
2025-02-14 01:32:49 +0530,68
2025-02-14 01:32:50 +0530,64
2025-02-14 01:32:50 +0530,66
2025-02-14 01:42:50 +0530,63
2025-02-14 01:42:50 +0530,63
2025-02-14 01:50:02 +0530,58
2025-02-14 01:50:25 +0530,64
2025-02-14 01:59:34 +0530,63
2025-02-14 01:59:34 +0530,63
2025-02-14 02:09:45 +0530,63
2025-02-14 02:09:45 +0530,59
2025-02-14 02:18:15 +0530,55
2025-02-14 02:18:15 +0530,55
2025-02-14 02:20:26 +0530,63
2025-02-14 02:28:25 +0530,54
2025-02-14 02:28:25 +0530,60
2025-02-14 02:34:05 +0530,59
2025-02-14 02:44:09 +0530,54
2025-02-14 02:44:10 +0530,58
2025-02-14 02:47:50 +0530,60
2025-02-14 02:50:27 +0530,60
2025-02-14 02:53:46 +0530,60
2025-02-14 02:58:19 +0530,59
2025-02-14 02:58:20 +0530,58.5344
2025-02-14 03:02:51 +0530,59
2025-02-14 03:08:30 +0530,58
2025-02-14 03:18:35 +0530,59
2025-02-14 03:28:35 +0530,58
2025-02-14 03:28:35 +0530,59
2025-02-14 03:28:35 +0530,58
2025-02-14 03:33:40 +0530,52
2025-02-14 03:34:57 +0530,57
2025-02-14 03:45:00 +0530,56
2025-02-14 03:45:00 +0530,58
2025-02-14 03:50:01 +0530,58
2025-02-14 03:55:00 +0530,61
2025-02-14 04:04:28 +0530,55
2025-02-14 04:04:28 +0530,52
2025-02-14 04:05:36 +0530,56
2025-02-14 04:12:45 +0530,60
2025-02-14 04:12:45 +0530,58
2025-02-14 04:22:49 +0530,55
2025-02-14 04:22:49 +0530,58
2025-02-14 04:29:40 +0530,58
2025-02-14 04:35:37 +0530,57
2025-02-14 04:37:21 +0530,59
2025-02-14 04:37:50 +0530,58
2025-02-14 04:48:40 +0530,58
2025-02-14 04:48:40 +0530,59
2025-02-14 04:58:40 +0530,60
2025-02-14 04:58:40 +0530,60
2025-02-14 05:05:38 +0530,70
2025-02-14 05:05:39 +0530,60
2025-02-14 05:13:41 +0530,58
2025-02-14 05:13:41 +0530,57
2025-02-14 05:18:03 +0530,58
2025-02-14 05:23:00 +0530,56
2025-02-14 05:28:10 +0530,54
2025-02-14 05:34:02 +0530,59
2025-02-14 05:38:31 +0530,53
2025-02-14 05:44:00 +0530,58
2025-02-14 05:49:26 +0530,59
2025-02-14 05:53:07 +0530,57
2025-02-14 06:05:38 +0530,60
2025-02-14 06:05:39 +0530,60
2025-02-14 06:15:43 +0530,58
2025-02-14 06:15:43 +0530,59
2025-02-14 06:26:13 +0530,59
2025-02-14 06:26:13 +0530,58
2025-02-14 06:29:51 +0530,64
2025-02-14 06:35:01 +0530,61
2025-02-14 06:40:13 +0530,64
2025-02-14 06:43:36 +0530,69
2025-02-14 06:44:37 +0530,60
2025-02-14 06:50:01 +0530,67
