CreationDate,Value
2025-02-14 00:17:58 +0530,1
2025-02-14 00:59:10 +0530,1.2
2025-02-14 00:59:10 +0530,3.9
2025-02-14 00:59:59 +0530,2.5
2025-02-14 00:59:59 +0530,5.3
2025-02-14 01:08:40 +0530,1.1
2025-02-14 01:08:40 +0530,5.2
2025-02-14 01:42:54 +0530,1
2025-02-14 01:50:01 +0530,5.3
2025-02-14 02:44:09 +0530,1
2025-02-14 03:44:59 +0530,1
2025-02-14 04:48:39 +0530,1
2025-02-14 05:38:33 +0530,1
2025-02-14 05:38:33 +0530,5.6
2025-02-14 06:35:02 +0530,1
2025-02-14 06:35:02 +0530,5.6
2025-02-14 07:02:22 +0530,1.1
2025-02-14 07:02:22 +0530,4.1
2025-02-14 07:02:56 +0530,2.3
2025-02-14 07:03:11 +0530,2.8
2025-02-14 07:05:09 +0530,2.4
2025-02-14 07:05:09 +0530,2.9
2025-02-14 08:04:35 +0530,2
2025-02-14 08:07:44 +0530,2.3
2025-02-14 08:07:44 +0530,3.3
2025-02-14 08:08:17 +0530,4.4
2025-02-14 08:08:17 +0530,2.9
2025-02-14 08:08:17 +0530,4.1
2025-02-14 08:08:27 +0530,5.2
2025-02-14 08:08:35 +0530,3.9
2025-02-14 08:08:43 +0530,3.4
2025-02-14 08:09:21 +0530,4.5
2025-02-14 08:09:31 +0530,1.9
2025-02-14 08:09:39 +0530,4.8
2025-02-14 08:10:15 +0530,2.7
2025-02-14 08:10:35 +0530,5.4
2025-02-14 08:10:51 +0530,2
2025-02-14 08:11:11 +0530,5.1
2025-02-14 08:11:29 +0530,2
2025-02-14 08:11:37 +0530,3.8
2025-02-14 08:11:47 +0530,5.6
2025-02-14 08:11:57 +0530,6
2025-02-14 08:12:15 +0530,5.8
2025-02-14 08:12:51 +0530,5.2
2025-02-14 08:12:51 +0530,4.9
2025-02-14 08:12:51 +0530,4.1
2025-02-14 08:12:56 +0530,3.6
2025-02-14 08:13:32 +0530,1.6
2025-02-14 08:13:52 +0530,1.3
2025-02-14 08:14:03 +0530,13.9
2025-02-14 08:14:13 +0530,4.5
2025-02-14 08:14:23 +0530,8.4
2025-02-14 08:14:33 +0530,9.6
2025-02-14 08:14:43 +0530,11
2025-02-14 08:14:54 +0530,6
2025-02-14 08:15:04 +0530,4.9
2025-02-14 08:16:21 +0530,2.5
2025-02-14 08:17:38 +0530,2.6
2025-02-14 08:17:48 +0530,13.8
2025-02-14 08:17:58 +0530,4.9
2025-02-14 08:18:08 +0530,3.2
2025-02-14 08:18:16 +0530,2.3
2025-02-14 08:21:10 +0530,1.7
2025-02-14 08:21:20 +0530,17.3
2025-02-14 08:21:30 +0530,14
2025-02-14 08:21:41 +0530,18.8
2025-02-14 08:21:51 +0530,12.2
2025-02-14 08:22:04 +0530,7.8
2025-02-14 08:22:14 +0530,5.9
2025-02-14 08:22:24 +0530,4.3
2025-02-14 08:22:34 +0530,6.4
2025-02-14 08:22:42 +0530,4.9
2025-02-14 08:23:15 +0530,1.4
2025-02-14 08:23:26 +0530,5.3
2025-02-14 08:23:41 +0530,6.8
2025-02-14 08:23:49 +0530,15.1
2025-02-14 08:25:16 +0530,1.3
2025-02-14 08:25:26 +0530,17.2
2025-02-14 08:26:32 +0530,4.9
2025-02-14 08:26:48 +0530,1.6
2025-02-14 08:26:58 +0530,7.2
2025-02-14 08:27:08 +0530,13.7
2025-02-14 08:27:16 +0530,18.1
2025-02-14 08:27:39 +0530,17
2025-02-14 08:28:17 +0530,2.6
2025-02-14 08:30:07 +0530,3.5
2025-02-14 08:30:07 +0530,4.9
2025-02-14 08:30:07 +0530,1.7
2025-02-14 08:30:25 +0530,4
2025-02-14 08:30:36 +0530,3.5
2025-02-14 08:31:14 +0530,3.5
2025-02-14 08:31:22 +0530,3.7
2025-02-14 08:33:04 +0530,1.6
2025-02-14 08:33:04 +0530,7.8
2025-02-14 08:33:04 +0530,5.7
2025-02-14 08:33:12 +0530,5.2
2025-02-14 08:33:19 +0530,4
2025-02-14 08:46:15 +0530,1.2
2025-02-14 08:46:15 +0530,4.8
2025-02-14 08:57:02 +0530,1.4
2025-02-14 08:57:02 +0530,3.5
2025-02-14 08:57:02 +0530,1.8
2025-02-14 08:57:02 +0530,3.8
2025-02-14 08:57:18 +0530,3.1
2025-02-14 08:57:20 +0530,3.3
2025-02-14 08:58:27 +0530,1.8
