CreationDate,Value,Duration
14-02-2025,Core,00:00:30
14-02-2025,Awake,00:01:00
14-02-2025,Core,00:19:00
14-02-2025,Deep,00:17:30
14-02-2025,Core,00:05:30
14-02-2025,Deep,00:10:00
14-02-2025,Core,00:06:00
14-02-2025,REM,00:20:30
14-02-2025,Core,00:25:30
14-02-2025,Deep,00:04:30
14-02-2025,Core,00:08:00
14-02-2025,Deep,00:12:00
14-02-2025,Core,00:02:00
14-02-2025,Deep,00:14:00
14-02-2025,Core,00:23:00
14-02-2025,REM,00:12:30
14-02-2025,Awake,00:00:30
14-02-2025,Core,00:07:00
14-02-2025,REM,00:05:00
14-02-2025,Core,00:58:30
14-02-2025,REM,00:19:00
14-02-2025,Core,00:03:30
14-02-2025,REM,00:01:00
14-02-2025,Core,00:19:00
14-02-2025,Awake,00:01:00
14-02-2025,Core,00:14:30
14-02-2025,Awake,00:00:30
14-02-2025,Core,00:12:30
14-02-2025,Unspecified,01:29:00
14-02-2025,Awake,00:06:00
14-02-2025,Unspecified,00:03:30
15-02-2025,Core,00:16:30
15-02-2025,Deep,00:29:30
15-02-2025,Core,00:47:00
15-02-2025,Deep,00:01:30
15-02-2025,Core,00:22:00
15-02-2025,REM,00:31:30
15-02-2025,Core,00:18:00
15-02-2025,Deep,00:10:00
15-02-2025,Core,00:12:30
15-02-2025,Deep,00:14:30
15-02-2025,Core,00:26:30
15-02-2025,REM,00:20:30
15-02-2025,Awake,00:00:30
15-02-2025,Core,00:28:00
15-02-2025,Awake,00:00:30
15-02-2025,Core,00:18:30
15-02-2025,REM,00:48:30
15-02-2025,Core,00:14:00
15-02-2025,Awake,00:01:30
15-02-2025,Core,00:02:00
15-02-2025,Awake,00:01:30
15-02-2025,Core,00:51:00
15-02-2025,Awake,00:01:30
15-02-2025,Core,00:19:30
15-02-2025,REM,00:33:30
15-02-2025,Core,00:37:00
16-02-2025,Core,00:15:30
16-02-2025,Deep,00:07:30
16-02-2025,Core,00:22:30
16-02-2025,Deep,00:27:00
16-02-2025,Core,00:00:30
16-02-2025,Awake,00:01:30
16-02-2025,Core,00:06:30
16-02-2025,REM,00:15:30
16-02-2025,Core,00:26:00
16-02-2025,Awake,00:00:30
16-02-2025,Core,00:27:00
16-02-2025,Awake,00:01:30
16-02-2025,Core,00:07:00
16-02-2025,Awake,00:00:30
16-02-2025,Core,00:22:00
16-02-2025,REM,00:11:30
16-02-2025,Core,00:45:00
16-02-2025,Awake,00:02:00
16-02-2025,Core,00:06:30
16-02-2025,REM,00:04:30
16-02-2025,Awake,00:01:00
16-02-2025,REM,00:50:30
16-02-2025,Core,00:18:00
16-02-2025,Deep,00:16:30
16-02-2025,Core,00:07:00
17-02-2025,Core,00:23:30
17-02-2025,Deep,00:16:30
17-02-2025,Awake,00:01:00
17-02-2025,Core,00:15:30
17-02-2025,REM,00:15:00
17-02-2025,Core,00:25:00
17-02-2025,Deep,00:18:30
17-02-2025,Awake,00:01:00
17-02-2025,Core,00:42:30
17-02-2025,REM,00:28:00
17-02-2025,Core,00:28:30
17-02-2025,Deep,00:27:00
17-02-2025,Core,00:11:00
17-02-2025,REM,00:14:00
17-02-2025,Core,00:02:00
17-02-2025,REM,00:22:00
17-02-2025,Core,00:54:00
17-02-2025,REM,00:01:00
17-02-2025,Core,00:01:30
